policy_id,dataset,num_rules,ga_fitness,ga_coverage,ga_diversity,ga_suite_size,ga_time_s,jcsce_fitness,jcsce_coverage,jcsce_diversity,jcsce_suite_size,jcsce_time_s,rand_fitness,rand_coverage,rand_diversity,rand_suite_size,rand_time_s,improvement_rand,improvement_jcsce
authzforce_0045.xml,authzforce,1,0.9582,1.0,0.556,10,0.679,0.8493,1.0,0.6309,10,0.034,0.8287,1.0,0.6289,15,0.061,15.63,12.82
authzforce_0046.xml,authzforce,1,0.9582,1.0,0.556,10,0.661,0.8493,1.0,0.6309,10,0.035,0.8287,1.0,0.6289,15,0.057,15.63,12.82
authzforce_0047.xml,authzforce,1,0.9582,1.0,0.556,10,0.669,0.8493,1.0,0.6309,10,0.032,0.8287,1.0,0.6289,15,0.048,15.63,12.82
authzforce_0048.xml,authzforce,1,0.9582,1.0,0.556,10,0.68,0.8493,1.0,0.6309,10,0.034,0.8287,1.0,0.6289,15,0.053,15.63,12.82
authzforce_0049.xml,authzforce,1,0.9582,1.0,0.556,10,0.676,0.8493,1.0,0.6309,10,0.043,0.8287,1.0,0.6289,15,0.058,15.63,12.82
authzforce_0050.xml,authzforce,1,0.9582,1.0,0.556,10,0.706,0.8493,1.0,0.6309,10,0.041,0.8287,1.0,0.6289,15,0.063,15.63,12.82
authzforce_0051.xml,authzforce,1,0.9582,1.0,0.556,10,0.774,0.8493,1.0,0.6309,10,0.033,0.8287,1.0,0.6289,15,0.053,15.63,12.82
authzforce_0052.xml,authzforce,1,0.8154,1.0,0.0,9,0.26,0.672,1.0,0.0,7,0.013,0.64,1.0,0.0,15,0.028,27.41,21.34
authzforce_0053.xml,authzforce,1,0.8154,1.0,0.0,9,0.253,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.037,27.41,21.34
authzforce_0054.xml,authzforce,1,0.8469,1.0,0.0,9,0.168,0.672,1.0,0.0,7,0.012,0.64,1.0,0.0,15,0.021,32.33,26.03
authzforce_0055.xml,authzforce,1,0.8154,1.0,0.0,9,0.197,0.672,1.0,0.0,7,0.017,0.64,1.0,0.0,15,0.052,27.41,21.34
authzforce_0056.xml,authzforce,1,0.8154,1.0,0.0,9,0.185,0.672,1.0,0.0,7,0.007,0.64,1.0,0.0,15,0.023,27.41,21.34
authzforce_0057.xml,authzforce,1,0.7965,1.0,0.0,9,0.452,0.672,1.0,0.0,7,0.006,0.64,1.0,0.0,15,0.033,24.45,18.53
authzforce_0058.xml,authzforce,1,0.7965,1.0,0.0,9,0.197,0.672,1.0,0.0,7,0.011,0.64,1.0,0.0,15,0.031,24.45,18.53
authzforce_0059.xml,authzforce,1,0.9223,1.0,0.6126,10,0.656,0.8493,1.0,0.6309,10,0.031,0.8287,1.0,0.6289,15,0.05,11.29,8.6
